R,G,B
129,142,51
126,140,50
126,140,49
127,140,50
127,140,50
127,141,49
127,141,49
126,140,50
126,140,50
126,140,49
126,140,50
127,141,50
126,140,49
126,140,49
126,140,49
126,140,49
128,142,51
126,140,49
126,140,48
126,140,49
126,141,49
126,140,49
126,140,49
127,140,51
126,140,49
126,140,49
126,143,51
126,140,49
126,140,49
126,141,50
125,141,50
126,140,51
126,140,49
123,142,49
126,141,50
126,140,49
126,140,49
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
125,141,50
125,141,50
127,140,48
126,140,48
126,140,48
126,139,48
126,140,50
127,141,50
127,141,50
126,140,48
127,141,45
126,142,49
126,140,49
127,141,50
126,140,49
126,140,50
127,141,50
126,140,49
126,141,50
127,141,50
127,141,50
126,140,49
126,140,49
126,140,49
125,139,48
126,139,50
127,141,50
127,141,50
126,139,51
127,140,49
127,141,50
127,141,50
127,141,50
124,141,50
126,140,49
130,143,52
125,141,50
122,141,49
126,140,49
126,140,49
126,141,50
122,140,49
127,140,49
126,140,49
127,141,50
127,141,50
127,141,50
126,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
126,140,49
124,141,50
127,141,50
125,142,50
125,142,50
125,141,50
125,141,50
125,140,49
126,140,49
126,140,49
126,141,50
126,140,48
126,140,49
127,141,50
126,140,49
127,141,50
127,141,50
126,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,140,49
126,140,50
127,140,50
127,140,49
127,141,50
127,141,50
126,140,49
127,141,50
127,141,48
127,141,50
126,141,50
127,141,50
127,141,49
126,140,49
126,140,49
126,140,49
126,141,50
128,141,50
126,140,49
126,140,49
127,141,50
126,140,50
127,141,49
126,140,49
126,141,50
127,141,48
126,139,48
126,139,48
126,139,48
126,142,50
128,141,50
127,141,50
126,140,50
127,141,50
127,142,51
123,141,50
126,140,50
126,140,49
127,141,49
126,140,49
126,140,49
126,140,49
125,140,48
125,141,50
126,139,50
127,140,50
126,139,50
124,141,50
127,141,50
125,141,50
127,141,50
126,142,50
126,140,49
127,141,50
126,140,48
126,140,48
126,140,50
127,141,50
127,141,50
127,141,50
126,140,49
127,140,49
126,140,48
126,141,50
127,141,50
127,141,50
124,141,50
127,141,51
126,140,49
126,140,49
126,140,49
126,139,48
127,141,50
123,142,50
128,142,50
128,142,49
127,141,50
128,140,49
126,140,49
126,141,50
127,141,50
127,140,47
127,141,50
126,140,49
126,142,50
126,140,50
126,138,50
127,141,50
123,142,50
127,139,50
126,140,49
127,141,50
126,140,49
126,140,49
127,141,50
127,141,50
126,140,46
127,141,50
126,140,49
126,140,48
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,140,49
127,141,50
127,141,50
127,141,50
127,141,50
128,142,50
128,137,51
126,141,50
127,142,51
126,140,49
126,140,50
127,141,50
126,140,48
128,141,50
127,141,50
126,140,49
126,140,49
126,140,49
125,139,49
127,141,50
127,141,50
126,142,50
127,141,50
123,142,50
126,142,50
127,141,50
127,139,50
122,142,50
128,140,49
127,141,50
127,141,50
127,140,49
126,140,50
127,141,50
126,140,49
126,140,50
127,141,50
127,141,50
127,140,49
126,140,49
126,140,48
127,141,50
126,140,48
126,142,51
128,142,51
125,140,50
126,139,49
127,141,50
127,141,50
127,141,50
127,141,50
126,140,50
126,140,49
126,141,50
127,141,50
127,141,50
127,141,50
126,141,50
126,141,50
127,141,49
126,139,49
126,140,49
126,140,49
127,141,50
127,141,50
126,139,48
126,139,48
126,142,50
126,140,49
130,143,51
127,141,50
127,140,49
127,141,50
127,143,52
129,141,49
126,140,49
126,140,49
126,141,50
126,140,47
126,140,49
127,141,50
128,142,51
127,140,49
126,140,49
127,141,51
126,137,51
126,137,50
126,140,49
127,141,50
127,141,50
124,140,49
127,141,50
126,140,47
127,137,51
126,140,49
127,141,50
127,141,50
127,141,50
126,142,50
124,140,48
127,141,50
127,141,50
127,141,50
127,141,50
127,141,49
126,140,49
127,141,50
126,141,50
127,141,50
127,141,50
127,141,50
125,140,49
127,142,49
126,140,49
126,140,49
127,140,49
127,141,50
127,141,50
127,141,50
126,140,50
127,141,50
127,141,49
127,141,50
127,141,50
127,141,50
126,140,48
125,140,50
127,141,50
126,140,49
127,141,49
127,141,50
127,141,50
127,141,50
127,141,51
126,140,49
127,141,50
127,141,50
125,141,50
127,141,50
126,141,50
127,140,50
126,140,50
126,142,50
126,140,50
126,140,50
126,141,50
126,140,50
126,141,50
127,140,49
126,140,50
127,140,47
125,141,49
126,140,50
126,140,48
126,140,49
125,140,49
127,141,50
126,140,49
127,141,50
125,140,49
127,141,50
127,140,46
126,141,50
127,141,50
127,141,50
126,141,50
127,141,50
127,141,50
126,140,49
127,140,49
126,140,49
126,140,49
127,141,50
127,141,50
127,140,49
128,142,50
128,141,50
127,143,52
126,140,50
126,140,50
127,140,48
128,142,52
127,141,50
128,142,50
126,140,49
124,142,49
126,140,50
127,141,50
126,140,49
126,140,49
126,140,46
125,140,49
125,141,50
126,138,49
127,141,49
126,140,49
126,142,48
126,140,49
127,141,50
127,141,50
126,140,46
125,139,49
126,140,50
126,140,49
126,140,50
126,140,49
126,140,49
126,140,48
126,139,48
125,142,51
128,142,51
126,140,49
127,141,48
126,140,49
126,140,49
127,141,50
127,141,50
126,140,50
126,141,50
128,140,49
126,140,50
126,140,49
126,140,49
127,141,50
127,141,49
126,140,49
127,140,49
129,143,51
126,140,49
126,140,49
127,141,50
127,141,50
127,141,50
126,139,50
126,137,51
126,137,49
127,138,51
127,139,48
127,141,50
127,140,48
126,140,47
126,141,50
126,140,50
127,141,50
125,140,51
127,141,50
126,137,51
127,141,50
128,141,49
126,141,50
127,141,50
127,141,47
126,140,49
127,141,50
127,141,50
127,141,50
127,141,50
126,140,49
126,140,49
127,141,50
127,140,49
127,139,48
125,139,48
127,141,50
127,140,49
126,140,49
128,142,50
124,141,50
127,141,49
126,140,50
127,142,50
127,141,49
127,141,50
125,141,50
126,142,50
124,141,50
124,141,50
127,141,50
127,141,50
127,140,50
126,138,51
126,138,50
127,139,45
125,139,45
126,137,50
127,140,46
126,140,46
127,141,50
126,138,50
126,138,50
126,138,50
126,137,51
126,140,50
127,141,50
127,141,50
127,141,49
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
126,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
127,140,49
126,140,48
126,140,49
127,141,50
127,137,51
126,137,51
127,141,50
126,140,51
128,140,49
126,142,51
128,140,48
125,139,48
125,137,51
127,141,50
126,140,48
126,141,50
127,141,50
126,139,48
127,141,50
127,141,50
127,141,50
126,139,50
123,141,49
126,140,49
127,141,50
127,141,51
126,141,50
127,141,50
127,141,50
127,141,50
127,140,49
126,140,49
123,141,50
126,140,49
126,140,49
127,140,50
126,139,48
128,141,50
127,141,49
126,140,49
127,140,49
126,140,50
124,141,50
126,140,49
127,140,49
126,141,49
128,142,50
124,141,50
124,141,50
124,141,50
127,141,50
125,141,49
126,140,49
126,140,50
127,141,50
127,141,50
127,140,49
127,141,50
127,141,50
127,141,51
128,140,49
127,141,50
127,141,48
127,141,50
125,139,45
126,140,47
127,141,50
126,140,49
126,141,51
128,141,51
127,141,50
127,141,50
127,141,50
127,141,50
127,141,50
126,140,49
127,141,50
127,141,50
128,142,50
128,140,50
127,141,50
126,138,51
127,140,49
126,140,49
127,141,50
127,141,50
126,140,46
127,141,50
127,141,50
127,141,50
127,141,50
130,140,49
126,141,50
127,142,50
127,143,51
130,139,50
126,140,47
126,138,50
126,141,50
127,141,50
126,138,51
126,138,51
126,138,51
126,138,50
126,138,50
127,141,50
127,140,49
126,140,50
126,140,50
126,140,50
127,140,48
126,138,51
126,141,50
126,140,49
126,140,49
126,140,48
126,140,47
127,141,50
127,141,50
127,141,50
127,141,50
126,141,50
127,141,50
126,140,49
126,140,46
127,141,50
127,141,50
127,141,50
127,140,49
126,141,50
126,140,49
127,140,49
127,141,50
127,141,50
126,139,48
126,138,51
126,140,48
126,140,49
126,140,49
126,140,48
126,140,50
124,141,50
126,140,50
126,140,50
127,141,50
127,138,50
127,141,50
126,141,50
127,141,50
127,141,50
127,141,50
126,140,49
127,141,49
126,141,50
126,138,51
126,140,48
125,140,49
127,140,50
126,138,51
125,140,49
127,141,50
123,141,50
127,142,50
125,140,50
127,140,49
125,140,50
126,141,49
126,139,49
126,143,52
126,140,49
126,140,50
126,140,50
126,140,49
126,140,50
127,141,51
127,141,51
126,140,51
127,141,51
129,142,50
127,141,50
126,140,50
127,141,50
126,140,50
127,141,49
126,140,49
127,140,49
127,141,50
126,139,50
126,141,50
126,140,49
126,139,48
125,140,50
126,140,50
127,141,50
126,140,50
127,140,49
126,140,50
126,138,50
127,141,50
127,141,50
126,141,50
126,141,50
126,141,50
126,141,50
127,140,49
126,140,49
126,140,48
126,140,49
126,140,49
126,140,50
127,141,50
127,141,50
126,141,50
126,140,49
127,141,47
126,140,50
126,140,49
127,140,49
126,140,49
126,140,49
127,141,50
126,140,49
126,140,50
126,140,49
126,140,52
130,143,48
126,139,48
126,140,49
126,140,50
126,140,50
124,141,50
126,140,51
125,139,48
126,141,49
126,140,49
126,140,50
127,141,49
126,140,49
127,141,50
126,141,50
126,140,49
127,140,50
127,141,50
126,140,49
126,140,50
126,142,50
126,140,49
126,140,51
126,139,49
126,140,50
127,140,49
126,141,50
127,140,49
126,140,50
127,141,49
124,142,50
126,140,49
126,140,48
126,139,48
124,141,50
127,140,49
126,140,50
127,141,50
126,140,49
126,140,49
124,141,50
126,140,49
126,140,49
126,140,49
126,138,51
126,140,48
126,140,50
126,140,50
126,139,48
124,141,50
124,141,50
127,141,50
126,140,50
127,141,50
126,140,47
126,140,49
126,141,50
126,142,51
126,142,51
126,141,50
126,141,51
126,140,49
125,139,49
126,139,51
126,140,50
126,140,50
126,141,50
127,140,50
126,141,50
